Date (CET),Bid Price
2024-01-02 0:00:00,20.9
2024-01-02 4:00:00,20.6
2024-01-02 8:00:00,10.2
2024-01-02 12:00:00,13.2
2024-01-02 16:00:00,3.9
2024-01-02 20:00:00,10.0
2024-01-03 0:00:00,27.6
2024-01-03 4:00:00,21.2
2024-01-03 8:00:00,10.0
2024-01-03 12:00:00,11.5
2024-01-03 16:00:00,3.7
2024-01-03 20:00:00,9.3
2024-01-04 0:00:00,25.3
2024-01-04 4:00:00,19.6
2024-01-04 8:00:00,9.2
2024-01-04 12:00:00,8.5
2024-01-04 16:00:00,4.9
2024-01-04 20:00:00,8.1
2024-01-05 0:00:00,16.8
2024-01-05 4:00:00,16.7
2024-01-05 8:00:00,2.7
2024-01-05 12:00:00,6.8
2024-01-05 16:00:00,3.6
2024-01-05 20:00:00,5.2
2024-01-06 0:00:00,15.9
2024-01-06 4:00:00,15.0
2024-01-06 8:00:00,4.2
2024-01-06 12:00:00,6.6
2024-01-06 16:00:00,3.3
2024-01-06 20:00:00,5.5
2024-01-07 0:00:00,14.8
2024-01-07 4:00:00,16.3
2024-01-07 8:00:00,8.8
2024-01-07 12:00:00,5.0
2024-01-07 16:00:00,3.6
2024-01-07 20:00:00,6.7
2024-01-08 0:00:00,14.2
2024-01-08 4:00:00,15.8
2024-01-08 8:00:00,5.8
2024-01-08 12:00:00,3.8
2024-01-08 16:00:00,2.1
2024-01-08 20:00:00,4.1
2024-01-09 0:00:00,7.7
2024-01-09 4:00:00,14.4
2024-01-09 8:00:00,3.5
2024-01-09 12:00:00,3.7
2024-01-09 16:00:00,2.9
2024-01-09 20:00:00,3.9
2024-01-10 0:00:00,10.8
2024-01-10 4:00:00,13.0
2024-01-10 8:00:00,4.7
2024-01-10 12:00:00,4.4
2024-01-10 16:00:00,3.3
2024-01-10 20:00:00,2.7
2024-01-11 0:00:00,5.7
2024-01-11 4:00:00,10.8
2024-01-11 8:00:00,4.2
2024-01-11 12:00:00,5.9
2024-01-11 16:00:00,2.1
2024-01-11 20:00:00,3.8
2024-01-12 0:00:00,6.5
2024-01-12 4:00:00,6.1
2024-01-12 8:00:00,3.5
2024-01-12 12:00:00,4.1
2024-01-12 16:00:00,0.7
2024-01-12 20:00:00,2.8
2024-01-13 0:00:00,5.6
2024-01-13 4:00:00,8.9
2024-01-13 8:00:00,4.4
2024-01-13 12:00:00,4.0
2024-01-13 16:00:00,2.9
2024-01-13 20:00:00,2.8
2024-01-14 0:00:00,13.7
2024-01-14 4:00:00,11.3
2024-01-14 8:00:00,5.9
2024-01-14 12:00:00,6.1
2024-01-14 16:00:00,3.1
2024-01-14 20:00:00,7.0
2024-01-15 0:00:00,17.4
2024-01-15 4:00:00,10.7
2024-01-15 8:00:00,3.0
2024-01-15 12:00:00,2.2
2024-01-15 16:00:00,4.0
2024-01-15 20:00:00,5.4
2024-01-16 0:00:00,12.4
2024-01-16 4:00:00,10.2
2024-01-16 8:00:00,3.3
2024-01-16 12:00:00,2.2
2024-01-16 16:00:00,1.3
2024-01-16 20:00:00,3.3
2024-01-17 0:00:00,7.2
2024-01-17 4:00:00,7.9
2024-01-17 8:00:00,4.2
2024-01-17 12:00:00,4.3
2024-01-17 16:00:00,0.9
2024-01-17 20:00:00,1.8
2024-01-18 0:00:00,5.4
2024-01-18 4:00:00,6.5
2024-01-18 8:00:00,1.8
2024-01-18 12:00:00,3.2
2024-01-18 16:00:00,0.1
2024-01-18 20:00:00,2.9
2024-01-21 0:00:00,8.4
2024-01-21 4:00:00,7.1
2024-01-21 8:00:00,7.2
2024-01-21 12:00:00,6.3
2024-01-21 16:00:00,4.1
2024-01-21 20:00:00,5.8
2024-01-22 0:00:00,18.8
2024-01-22 4:00:00,11.2
2024-01-22 8:00:00,4.4
2024-01-22 12:00:00,9.2
2024-01-22 16:00:00,4.2
2024-01-22 20:00:00,7.6
2024-01-23 0:00:00,22.7
2024-01-23 4:00:00,18.9
2024-01-23 8:00:00,5.5
2024-01-23 12:00:00,5.9
2024-01-23 16:00:00,2.7
2024-01-23 20:00:00,5.4
2024-01-24 0:00:00,21.6
2024-01-24 4:00:00,21.4
2024-01-24 8:00:00,4.2
2024-01-24 12:00:00,5.2
2024-01-24 16:00:00,1.5
2024-01-24 20:00:00,5.5
2024-01-25 0:00:00,25.7
2024-01-25 4:00:00,16.1
2024-01-25 8:00:00,3.8
2024-01-25 12:00:00,5.6
2024-01-25 16:00:00,2.8
2024-01-25 20:00:00,3.8
2024-01-26 0:00:00,17.9
2024-01-26 4:00:00,11.7
2024-01-26 8:00:00,2.9
2024-01-26 12:00:00,3.4
2024-01-26 16:00:00,1.1
2024-01-26 20:00:00,4.5
2024-01-27 0:00:00,13.9
2024-01-27 4:00:00,9.3
2024-01-27 8:00:00,6.4
2024-01-27 12:00:00,6.3
2024-01-27 16:00:00,2.4
2024-01-27 20:00:00,4.4
2024-01-28 0:00:00,12.1
2024-01-28 4:00:00,7.9
2024-01-28 8:00:00,8.5
2024-01-28 12:00:00,12.2
2024-01-28 16:00:00,2.9
2024-01-28 20:00:00,5.5
2024-01-29 0:00:00,12.3
2024-01-29 4:00:00,13.4
2024-01-29 8:00:00,6.8
2024-01-29 12:00:00,6.7
2024-01-29 16:00:00,3.3
2024-01-29 20:00:00,3.5
2024-01-30 0:00:00,12.3
2024-01-30 4:00:00,7.3
2024-01-30 8:00:00,3.9
2024-01-30 12:00:00,5.5
2024-01-30 16:00:00,2.1
2024-01-30 20:00:00,2.5
2024-01-31 0:00:00,7.6
2024-01-31 4:00:00,7.1
2024-01-31 8:00:00,3.2
2024-01-31 12:00:00,4.5
2024-01-31 16:00:00,2.5
2024-01-31 20:00:00,3.1
2024-02-01 0:00:00,11.2
2024-02-01 4:00:00,16.8
2024-02-01 8:00:00,5.9
2024-02-01 12:00:00,3.8
2024-02-01 16:00:00,1.8
2024-02-01 20:00:00,4.8
2024-02-02 0:00:00,12.1
2024-02-02 4:00:00,10.3
2024-02-02 8:00:00,5.1
2024-02-02 12:00:00,5.7
2024-02-02 16:00:00,2.4
2024-02-02 20:00:00,4.2
2024-02-03 0:00:00,24.3
2024-02-03 4:00:00,15.3
2024-02-03 8:00:00,6.4
2024-02-03 12:00:00,7.5
2024-02-03 16:00:00,2.5
2024-02-03 20:00:00,5.8
2024-02-04 0:00:00,22.2
2024-02-04 4:00:00,22.9
2024-02-04 8:00:00,10.6
2024-02-04 12:00:00,14.0
2024-02-04 16:00:00,6.4
2024-02-04 20:00:00,10.5
2024-02-05 0:00:00,24.0
2024-02-05 4:00:00,21.4
2024-02-05 8:00:00,7.5
2024-02-05 12:00:00,12.3
2024-02-05 16:00:00,11.9
2024-02-05 20:00:00,8.6
2024-02-06 0:00:00,15.4
2024-02-06 4:00:00,22.1
2024-02-06 8:00:00,8.0
2024-02-06 12:00:00,8.9
2024-02-06 16:00:00,4.8
2024-02-06 20:00:00,5.0
2024-02-07 0:00:00,16.1
2024-02-07 4:00:00,16.2
2024-02-07 8:00:00,5.7
2024-02-07 12:00:00,6.1
2024-02-07 16:00:00,3.5
2024-02-07 20:00:00,4.5
2024-02-08 0:00:00,13.7
2024-02-08 4:00:00,7.9
2024-02-08 8:00:00,6.3
2024-02-08 12:00:00,3.5
2024-02-08 16:00:00,3.3
2024-02-08 20:00:00,3.8
2024-02-09 0:00:00,12.3
2024-02-09 4:00:00,7.8
2024-02-09 8:00:00,2.4
2024-02-09 12:00:00,5.1
2024-02-09 16:00:00,3.3
2024-02-09 20:00:00,3.2
2024-02-10 0:00:00,9.4
2024-02-10 4:00:00,8.6
2024-02-10 8:00:00,3.6
2024-02-10 12:00:00,4.7
2024-02-10 16:00:00,1.1
2024-02-10 20:00:00,5.0
2024-02-11 0:00:00,7.7
2024-02-11 4:00:00,7.3
2024-02-11 8:00:00,4.2
2024-02-11 12:00:00,4.2
2024-02-11 16:00:00,3.3
2024-02-11 20:00:00,5.8
2024-02-12 0:00:00,11.8
2024-02-12 4:00:00,10.8
2024-02-12 8:00:00,2.4
2024-02-12 12:00:00,2.0
2024-02-12 16:00:00,1.6
2024-02-12 20:00:00,2.4
2024-02-13 0:00:00,7.7
2024-02-13 4:00:00,7.2
2024-02-13 8:00:00,5.9
2024-02-13 12:00:00,2.4
2024-02-13 16:00:00,-0.4
2024-02-13 20:00:00,1.5
2024-02-14 0:00:00,6.3
2024-02-14 4:00:00,5.1
2024-02-14 8:00:00,3.7
2024-02-14 12:00:00,2.4
2024-02-14 16:00:00,0.8
2024-02-14 20:00:00,2.8
2024-02-15 0:00:00,4.7
2024-02-15 4:00:00,5.0
2024-02-15 8:00:00,5.7
2024-02-15 12:00:00,3.7
2024-02-15 16:00:00,0.4
2024-02-15 20:00:00,1.2
2024-02-16 0:00:00,5.0
2024-02-16 4:00:00,6.4
2024-02-16 8:00:00,6.9
2024-02-16 12:00:00,32.9
2024-02-16 16:00:00,10.2
2024-02-16 20:00:00,1.0
2024-02-20 0:00:00,6.0
2024-02-20 4:00:00,7.6
2024-02-20 8:00:00,5.4
2024-02-20 12:00:00,7.5
2024-02-20 16:00:00,1.4
2024-02-20 20:00:00,1.4
2024-02-21 0:00:00,5.2
2024-02-21 4:00:00,4.6
2024-02-21 8:00:00,4.6
2024-02-21 12:00:00,4.8
2024-02-21 16:00:00,3.1
2024-02-21 20:00:00,1.9
2024-02-22 0:00:00,8.2
2024-02-22 4:00:00,8.1
2024-02-22 8:00:00,2.8
2024-02-22 12:00:00,5.0
2024-02-22 16:00:00,3.4
2024-02-22 20:00:00,5.0
2024-02-23 0:00:00,13.2
2024-02-23 4:00:00,8.8
2024-02-23 8:00:00,6.5
2024-02-23 12:00:00,9.0
2024-02-23 16:00:00,4.8
2024-02-23 20:00:00,6.6
2024-02-24 0:00:00,14.7
2024-02-24 4:00:00,10.7
2024-02-24 8:00:00,6.7
2024-02-24 12:00:00,14.9
2024-02-24 16:00:00,8.5
2024-02-24 20:00:00,4.8
2024-02-25 0:00:00,9.1
2024-02-25 4:00:00,8.1
2024-02-25 8:00:00,9.5
2024-02-25 12:00:00,16.0
2024-02-25 16:00:00,9.7
2024-02-25 20:00:00,6.0
2024-02-26 0:00:00,6.9
2024-02-26 4:00:00,4.5
2024-02-26 8:00:00,3.3
2024-02-26 12:00:00,8.0
2024-02-26 16:00:00,2.6
2024-02-26 20:00:00,2.1
2024-02-27 0:00:00,4.1
2024-02-27 4:00:00,4.0
2024-02-27 8:00:00,2.7
2024-02-27 12:00:00,6.8
2024-02-27 16:00:00,3.1
2024-02-27 20:00:00,2.6
2024-02-28 0:00:00,4.6
2024-02-28 4:00:00,3.9
2024-02-28 8:00:00,3.8
2024-02-28 12:00:00,6.0
2024-02-28 16:00:00,1.6
2024-02-28 20:00:00,2.5
2024-02-29 0:00:00,6.4
2024-02-29 4:00:00,5.0
2024-02-29 8:00:00,6.8
2024-02-29 12:00:00,6.3
2024-02-29 16:00:00,1.7
2024-02-29 20:00:00,2.2
2024-03-01 0:00:00,5.2
2024-03-01 4:00:00,2.6
2024-03-01 8:00:00,5.9
2024-03-01 12:00:00,8.3
2024-03-01 16:00:00,1.3
2024-03-01 20:00:00,2.6
2024-03-02 0:00:00,5.2
2024-03-02 4:00:00,4.8
2024-03-02 8:00:00,8.9
2024-03-02 12:00:00,10.3
2024-03-02 16:00:00,4.3
2024-03-02 20:00:00,2.4
2024-03-03 0:00:00,6.0
2024-03-03 4:00:00,5.7
2024-03-03 8:00:00,9.5
2024-03-03 12:00:00,16.0
2024-03-03 16:00:00,2.6
2024-03-03 20:00:00,3.6
2024-03-04 0:00:00,3.7
2024-03-04 4:00:00,3.6
2024-03-04 8:00:00,3.6
2024-03-04 12:00:00,7.5
2024-03-04 16:00:00,1.6
2024-03-04 20:00:00,0.9
2024-03-05 0:00:00,6.3
2024-03-05 4:00:00,4.4
2024-03-05 8:00:00,2.3
2024-03-05 12:00:00,4.3
2024-03-05 16:00:00,2.3
2024-03-05 20:00:00,1.7
2024-03-06 0:00:00,3.6
2024-03-06 4:00:00,3.3
2024-03-06 8:00:00,4.6
2024-03-06 12:00:00,5.3
2024-03-06 16:00:00,0.0
2024-03-06 20:00:00,1.7
2024-03-07 0:00:00,2.7
2024-03-07 4:00:00,1.2
2024-03-07 8:00:00,3.8
2024-03-07 12:00:00,8.1
2024-03-07 16:00:00,0.2
2024-03-07 20:00:00,1.5
2024-03-08 0:00:00,2.9
2024-03-08 4:00:00,3.2
2024-03-08 8:00:00,0.6
2024-03-08 12:00:00,18.3
2024-03-08 16:00:00,8.0
2024-03-08 20:00:00,2.4
2024-03-09 0:00:00,4.1
2024-03-09 4:00:00,3.4
2024-03-09 8:00:00,10.3
2024-03-09 12:00:00,29.1
2024-03-09 16:00:00,4.2
2024-03-09 20:00:00,3.9
2024-03-10 0:00:00,7.1
2024-03-10 4:00:00,5.1
2024-03-10 8:00:00,12.9
2024-03-10 12:00:00,28.1
2024-03-10 16:00:00,8.1
2024-03-10 20:00:00,3.7
2024-03-11 0:00:00,5.4
2024-03-11 4:00:00,5.4
2024-03-11 8:00:00,7.6
2024-03-11 12:00:00,13.9
2024-03-11 16:00:00,6.3
2024-03-11 20:00:00,2.5
2024-03-12 0:00:00,4.5
2024-03-12 4:00:00,1.6
2024-03-12 8:00:00,5.6
2024-03-12 12:00:00,9.1
2024-03-12 16:00:00,3.1
2024-03-12 20:00:00,3.4
2024-03-13 0:00:00,3.1
2024-03-13 4:00:00,1.6
2024-03-13 8:00:00,1.3
2024-03-13 12:00:00,7.0
2024-03-13 16:00:00,3.8
2024-03-13 20:00:00,2.0
2024-03-14 0:00:00,2.0
2024-03-14 4:00:00,2.5
2024-03-14 8:00:00,5.4
2024-03-14 12:00:00,8.0
2024-03-14 16:00:00,1.9
2024-03-14 20:00:00,1.7
2024-03-15 0:00:00,3.1
2024-03-15 4:00:00,5.5
2024-03-15 8:00:00,8.7
2024-03-15 12:00:00,10.1
2024-03-15 16:00:00,3.6
2024-03-15 20:00:00,2.0
2024-03-16 0:00:00,5.0
2024-03-16 4:00:00,6.6
2024-03-16 8:00:00,4.2
2024-03-16 12:00:00,26.5
2024-03-16 16:00:00,4.2
2024-03-16 20:00:00,2.7
2024-03-17 0:00:00,7.6
2024-03-17 4:00:00,3.4
2024-03-17 8:00:00,9.4
2024-03-17 12:00:00,23.9
2024-03-17 16:00:00,6.6
2024-03-17 20:00:00,3.9
2024-03-18 0:00:00,4.7
2024-03-18 4:00:00,5.7
2024-03-18 8:00:00,3.3
2024-03-18 12:00:00,18.2
2024-03-18 16:00:00,1.6
2024-03-18 20:00:00,0.9
2024-03-19 0:00:00,3.3
2024-03-19 4:00:00,9.7
2024-03-19 8:00:00,10.4
2024-03-19 12:00:00,8.7
2024-03-19 16:00:00,3.0
2024-03-19 20:00:00,1.0
2024-03-20 0:00:00,3.2
2024-03-20 4:00:00,2.1
2024-03-20 8:00:00,3.0
2024-03-20 12:00:00,4.9
2024-03-20 16:00:00,2.1
2024-03-20 20:00:00,1.9
2024-03-21 0:00:00,4.2
2024-03-21 4:00:00,2.2
2024-03-21 8:00:00,6.0
2024-03-21 12:00:00,8.6
2024-03-21 16:00:00,4.8
2024-03-21 20:00:00,1.1
2024-03-22 0:00:00,3.0
2024-03-22 4:00:00,0.8
2024-03-22 8:00:00,8.0
2024-03-22 12:00:00,13.8
2024-03-22 16:00:00,2.1
2024-03-22 20:00:00,1.6
2024-03-23 0:00:00,5.2
2024-03-23 4:00:00,2.9
2024-03-23 8:00:00,9.4
2024-03-23 12:00:00,35.8
2024-03-23 16:00:00,7.0
2024-03-23 20:00:00,3.9
2024-03-24 0:00:00,6.9
2024-03-24 4:00:00,9.1
2024-03-24 8:00:00,22.0
2024-03-24 12:00:00,39.0
2024-03-24 16:00:00,10.8
2024-03-24 20:00:00,6.2
2024-03-25 0:00:00,7.0
2024-03-25 4:00:00,5.3
2024-03-25 8:00:00,11.8
2024-03-25 12:00:00,41.0
2024-03-25 16:00:00,5.6
2024-03-25 20:00:00,3.3
2024-03-26 0:00:00,5.4
2024-03-26 4:00:00,5.4
2024-03-26 8:00:00,12.5
2024-03-26 12:00:00,28.0
2024-03-26 16:00:00,7.1
2024-03-26 20:00:00,3.8
2024-03-27 0:00:00,6.3
2024-03-27 4:00:00,2.3
2024-03-27 8:00:00,6.7
2024-03-27 12:00:00,24.8
2024-03-27 16:00:00,1.8
2024-03-27 20:00:00,2.6
2024-03-28 0:00:00,3.6
2024-03-28 4:00:00,3.8
2024-03-28 8:00:00,6.4
2024-03-28 12:00:00,21.9
2024-03-28 16:00:00,7.2
2024-03-28 20:00:00,2.9
2024-03-29 0:00:00,6.3
2024-03-29 4:00:00,12.3
2024-03-29 8:00:00,11.0
2024-03-29 12:00:00,26.9
2024-03-29 16:00:00,7.1
2024-03-29 20:00:00,4.3
2024-03-30 0:00:00,7.3
2024-03-30 4:00:00,11.9
2024-03-30 8:00:00,18.2
2024-03-30 12:00:00,36.0
2024-03-30 16:00:00,7.9
2024-03-30 20:00:00,3.1
2024-03-31 0:00:00,10.0
2024-03-31 4:00:00,6.5
2024-03-31 8:00:00,19.9
2024-03-31 12:00:00,44.5
2024-03-31 16:00:00,13.0
2024-03-31 20:00:00,3.2
2024-04-01 0:00:00,6.1
2024-04-01 4:00:00,6.8
2024-04-01 8:00:00,12.1
2024-04-01 12:00:00,35.6
2024-04-01 16:00:00,13.0
2024-04-01 20:00:00,2.7
2024-04-02 0:00:00,6.0
2024-04-02 4:00:00,6.5
2024-04-02 8:00:00,13.3
2024-04-02 12:00:00,47.6
2024-04-02 16:00:00,9.7
2024-04-02 20:00:00,5.3
2024-04-03 0:00:00,7.3
2024-04-03 4:00:00,5.4
2024-04-03 8:00:00,12.2
2024-04-03 12:00:00,23.6
2024-04-03 16:00:00,8.2
2024-04-03 20:00:00,3.7
2024-04-04 0:00:00,6.9
2024-04-04 4:00:00,5.5
2024-04-04 8:00:00,7.6
2024-04-04 12:00:00,20.8
2024-04-04 16:00:00,7.7
2024-04-04 20:00:00,3.2
2024-04-05 0:00:00,6.9
2024-04-05 4:00:00,5.9
2024-04-05 8:00:00,8.6
2024-04-05 12:00:00,25.0
2024-04-05 16:00:00,9.9
2024-04-05 20:00:00,2.0
2024-04-06 0:00:00,5.9
2024-04-06 4:00:00,4.2
2024-04-06 8:00:00,10.3
2024-04-06 12:00:00,36.0
2024-04-06 16:00:00,15.0
2024-04-06 20:00:00,3.3
2024-04-07 0:00:00,7.2
2024-04-07 4:00:00,7.0
2024-04-07 8:00:00,17.0
2024-04-07 12:00:00,44.4
2024-04-07 16:00:00,12.8
2024-04-07 20:00:00,4.0
2024-04-08 0:00:00,7.4
2024-04-08 4:00:00,4.3
2024-04-08 8:00:00,6.2
2024-04-08 12:00:00,25.2
2024-04-08 16:00:00,10.8
2024-04-08 20:00:00,1.7
2024-04-09 0:00:00,6.0
2024-04-09 4:00:00,6.2
2024-04-09 8:00:00,9.2
2024-04-09 12:00:00,26.8
2024-04-09 16:00:00,8.7
2024-04-09 20:00:00,2.3
2024-04-10 0:00:00,6.7
2024-04-10 4:00:00,6.9
2024-04-10 8:00:00,6.8
2024-04-10 12:00:00,17.1
2024-04-10 16:00:00,11.2
2024-04-10 20:00:00,5.1
2024-04-11 0:00:00,7.5
2024-04-11 4:00:00,6.2
2024-04-11 8:00:00,8.2
2024-04-11 12:00:00,31.8
2024-04-11 16:00:00,8.4
2024-04-11 20:00:00,1.4
2024-04-12 0:00:00,8.3
2024-04-12 4:00:00,6.0
2024-04-12 8:00:00,14.5
2024-04-12 12:00:00,34.6
2024-04-12 16:00:00,11.1
2024-04-12 20:00:00,2.5
2024-04-13 0:00:00,6.7
2024-04-13 4:00:00,7.0
2024-04-13 8:00:00,20.8
2024-04-13 12:00:00,43.5
2024-04-13 16:00:00,19.1
2024-04-13 20:00:00,2.3
2024-04-14 0:00:00,7.8
2024-04-14 4:00:00,9.4
2024-04-14 8:00:00,20.0
2024-04-14 12:00:00,83.5
2024-04-14 16:00:00,27.7
2024-04-14 20:00:00,4.7
2024-04-15 0:00:00,7.6
2024-04-15 4:00:00,5.0
2024-04-15 8:00:00,20.0
2024-04-15 12:00:00,44.9
2024-04-15 16:00:00,16.9
2024-04-15 20:00:00,3.2
2024-04-16 0:00:00,12.2
2024-04-16 4:00:00,19.8
2024-04-16 8:00:00,12.4
2024-04-16 12:00:00,29.8
2024-04-16 16:00:00,12.7
2024-04-16 20:00:00,8.0
2024-04-17 0:00:00,16.0
2024-04-17 4:00:00,15.8
2024-04-17 8:00:00,21.2
2024-04-17 12:00:00,30.2
2024-04-17 16:00:00,10.5
2024-04-17 20:00:00,12.1
2024-04-18 0:00:00,11.6
2024-04-18 4:00:00,8.0
2024-04-18 8:00:00,13.5
2024-04-18 12:00:00,19.6
2024-04-18 16:00:00,11.5
2024-04-18 20:00:00,5.4
2024-04-19 0:00:00,8.2
2024-04-19 4:00:00,6.1
2024-04-19 8:00:00,10.4
2024-04-19 12:00:00,27.2
2024-04-19 16:00:00,10.8
2024-04-19 20:00:00,3.5
2024-04-20 0:00:00,8.9
2024-04-20 4:00:00,11.0
2024-04-20 8:00:00,21.0
2024-04-20 12:00:00,28.7
2024-04-20 16:00:00,12.6
2024-04-20 20:00:00,3.9
2024-04-21 0:00:00,9.5
2024-04-21 4:00:00,6.1
2024-04-21 8:00:00,17.0
2024-04-21 12:00:00,57.2
2024-04-21 16:00:00,16.3
2024-04-21 20:00:00,3.8
2024-04-22 0:00:00,7.1
2024-04-22 4:00:00,5.3
2024-04-22 8:00:00,14.3
2024-04-22 12:00:00,30.2
2024-04-22 16:00:00,13.6
2024-04-22 20:00:00,3.0
2024-04-23 0:00:00,7.2
2024-04-23 4:00:00,6.2
2024-04-23 8:00:00,12.5
2024-04-23 12:00:00,24.2
2024-04-23 16:00:00,10.7
2024-04-23 20:00:00,3.5
2024-04-24 0:00:00,6.1
2024-04-24 4:00:00,3.0
2024-04-24 8:00:00,8.8
2024-04-24 12:00:00,29.5
2024-04-24 16:00:00,9.2
2024-04-24 20:00:00,13.1
2024-04-25 0:00:00,7.9
2024-04-25 4:00:00,4.7
2024-04-25 8:00:00,7.9
2024-04-25 12:00:00,16.5
2024-04-25 16:00:00,11.0
2024-04-25 20:00:00,9.9
2024-04-26 0:00:00,5.9
2024-04-26 4:00:00,3.4
2024-04-26 8:00:00,14.5
2024-04-26 12:00:00,20.8
2024-04-26 16:00:00,10.5
2024-04-26 20:00:00,5.4
2024-04-27 0:00:00,6.1
2024-04-27 4:00:00,7.2
2024-04-27 8:00:00,21.9
2024-04-27 12:00:00,62.6
2024-04-27 16:00:00,10.0
2024-04-27 20:00:00,4.7
2024-04-28 0:00:00,6.4
2024-04-28 4:00:00,6.3
2024-04-28 8:00:00,24.3
2024-04-28 12:00:00,77.7
2024-04-28 16:00:00,23.4
2024-04-28 20:00:00,6.0
2024-04-29 0:00:00,7.4
2024-04-29 4:00:00,6.8
2024-04-29 8:00:00,15.2
2024-04-29 12:00:00,36.6
2024-04-29 16:00:00,14.7
2024-04-29 20:00:00,3.7
2024-04-30 0:00:00,7.1
2024-04-30 4:00:00,2.6
2024-04-30 8:00:00,16.2
2024-04-30 12:00:00,42.7
2024-04-30 16:00:00,13.7
2024-04-30 20:00:00,3.4
2024-05-01 0:00:00,5.0
2024-05-01 4:00:00,3.6
2024-05-01 8:00:00,26.3
2024-05-01 12:00:00,62.7
2024-05-01 16:00:00,13.2
2024-05-01 20:00:00,4.4
2024-05-02 0:00:00,7.1
2024-05-02 4:00:00,4.9
2024-05-02 8:00:00,28.4
2024-05-02 12:00:00,46.1
2024-05-02 16:00:00,10.7
2024-05-02 20:00:00,3.1
2024-05-03 0:00:00,8.2
2024-05-03 4:00:00,5.2
2024-05-03 8:00:00,12.6
2024-05-03 12:00:00,38.4
2024-05-03 16:00:00,11.5
2024-05-03 20:00:00,4.7
2024-05-04 0:00:00,6.2
2024-05-04 4:00:00,8.4
2024-05-04 8:00:00,16.4
2024-05-04 12:00:00,31.5
2024-05-04 16:00:00,12.3
2024-05-04 20:00:00,3.0
2024-05-05 0:00:00,5.3
2024-05-05 4:00:00,4.1
2024-05-05 8:00:00,24.0
2024-05-05 12:00:00,55.0
